;id;unvan;gorevyeri;anahtarkelime;anahtarkelime2;ilgi
803;185185;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/HUKUK FAKÜLTESİ/KAMU HUKUKU BÖLÜMÜ/GENEL KAMU HUKUKU ANABİLİM DALI/;Hukuk Temel Alanı;Genel Kamu Hukuku;
804;26088;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/İŞLETME FAKÜLTESİ/İŞLETME BÖLÜMÜ/ÜRETİM YÖNETİMİ VE PAZARLAMA ANABİLİM DALI/;Sosyal-Beşeri ve İdari Bilimler Temel Alanı;Pazarlama;
805;247254;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/SOSYAL BİLİMLER ENSTİTÜSÜ/;Güzel Sanatlar Temel Alanı;Geleneksel Türk Sanatları; Çini
806;22322;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/FEN-EDEBİYAT FAKÜLTESİ/FELSEFE BÖLÜMÜ/TÜRK İSLAM DÜŞÜNCESİ TARİHİ ANABİLİM DALI/;Sosyal-Beşeri ve İdari Bilimler Temel Alanı;Felsefe;
807;257774;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/SOSYAL BİLİMLER ENSTİTÜSÜ/;İlahiyat Temel Alanı;Temel İslam Bilimleri;
808;312049;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/SİYASAL BİLGİLER FAKÜLTESİ/MALİYE BÖLÜMÜ/MALİ HUKUK ANABİLİM DALI/;Sosyal-Beşeri ve İdari Bilimler Temel Alanı;Maliye; Mali Hukuk
809;237943;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/FEN BİLİMLERİ ENSTİTÜSÜ/;Mühendislik Temel Alanı;Endüstri Mühendisliği;" Çok kriterli Karar verme ; Bulanık Mantık  ; Karar Destek Sistemleri"
810;187412;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/TIP FAKÜLTESİ/TEMEL TIP BİLİMLERİ BÖLÜMÜ/BİYOFİZİK ANABİLİM DALI/;Sağlık Bilimleri Temel Alanı;Biyofizik;
811;280037;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/SİYASAL BİLGİLER FAKÜLTESİ/SİYASET BİLİMİ VE KAMU YÖNETİMİ BÖLÜMÜ/SİYASET VE SOSYAL BİLİMLER ANABİLİM DALI/;Sosyal-Beşeri ve İdari Bilimler Temel Alanı;Siyasal Düşünceler;" Siyaset Felsefesi ; Siyasi Düşünce Tarihi ; Siyasal Akımlar"
812;163365;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/SİYASAL BİLGİLER FAKÜLTESİ/ULUSLARARASI İLİŞKİLER BÖLÜMÜ/DEVLETLER HUKUKU ANABİLİM DALI/;Sosyal-Beşeri ve İdari Bilimler Temel Alanı;Uluslararası İlişkiler;" Uluslararası Hukuk ; Ortadoğu Çalışmaları ; Uluslararası Kurumlar"
813;118841;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/MÜHENDİSLİK FAKÜLTESİ/METALURJİ VE MALZEME MÜHENDİSLİĞİ BÖLÜMÜ/METALURJİ VE MALZEME MÜHENDİSLİĞİ ANABİLİM DALI/;Mühendislik Temel Alanı;Malzeme ve Metalurji Mühendisliği;" Kaplama Teknolojisi ; Malzeme Karekterizasyonu ; Toz Metalurjisi"
814;257696;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/SOSYAL BİLİMLER ENSTİTÜSÜ/;Sosyal-Beşeri ve İdari Bilimler Temel Alanı;Türk İslam Sanatı;" Mimari ; Türk-İslam Sanatları Tarihi ; Çini/Seramik"
815;303156;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/MÜHENDİSLİK FAKÜLTESİ/METALURJİ VE MALZEME MÜHENDİSLİĞİ BÖLÜMÜ/METALURJİ VE MALZEME MÜHENDİSLİĞİ ANABİLİM DALI/;Mühendislik Temel Alanı;Malzeme ve Metalurji Mühendisliği;
816;198452;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/EĞİTİM FAKÜLTESİ/EĞİTİM BİLİMLERİ BÖLÜMÜ/REHBERLİK VE PSİKOLOJİK DANIŞMANLIK ANABİLİM DALI/;Eğitim Bilimleri ve Öğretmen Yetiştirme Temel Alanı;Eğitim Bilimleri;
817;198595;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/TIP FAKÜLTESİ/DAHİLİ TIP BİLİMLERİ BÖLÜMÜ/KARDİYOLOJİ ANABİLİM DALI/;;;
818;195909;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/MÜHENDİSLİK FAKÜLTESİ/JEOFİZİK MÜHENDİSLİĞİ BÖLÜMÜ/JEOFİZİK MÜHENDİSLİĞİ ANABİLİM DALI/;Mühendislik Temel Alanı;Yer Bilimleri ve Mühendisliği;
819;110686;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/FEN-EDEBİYAT FAKÜLTESİ/KİMYA BÖLÜMÜ/BİYOKİMYA ANABİLİM DALI/;Fen Bilimleri ve Matematik Temel Alanı;Kimya; Biyokimya
820;256006;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/İLAHİYAT FAKÜLTESİ/FELSEFE VE DİN BİLİMLERİ BÖLÜMÜ/DİNLER TARİHİ ANABİLİM DALI/;İlahiyat Temel Alanı;Felsefe ve Din Bilimleri; Dinler Tarihi
821;300790;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/İLAHİYAT FAKÜLTESİ/TEMEL İSLAM BİLİMLERİ BÖLÜMÜ/ARAP DİLİ VE BELAGATI ANABİLİM DALI/;;;
822;196215;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/FEN-EDEBİYAT FAKÜLTESİ/BİYOLOJİ BÖLÜMÜ/GENEL BİYOLOJİ ANABİLİM DALI/;Fen Bilimleri ve Matematik Temel Alanı;Biyoloji;" Moleküler Biyoloji ; Genetik"
823;167193;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/MÜHENDİSLİK FAKÜLTESİ/İNŞAAT MÜHENDİSLİĞİ BÖLÜMÜ/İNŞAAT MÜHENDİSLİĞİ ANABİLİM DALI/;Mühendislik Temel Alanı;İnşaat Mühendisliği;" Yapı İşletmesi ; Proje Yönetimi"
824;203764;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/EĞİTİM FAKÜLTESİ/TEMEL EĞİTİM BÖLÜMÜ/OKUL ÖNCESİ EĞİTİMİ ANABİLİM DALI/;Eğitim Bilimleri ve Öğretmen Yetiştirme Temel Alanı;Temel Eğitim;" Okul Öncesi Eğitimi ; Fen Bilgisi Eğitimi"
825;42506;ARAŞTIRMA GÖREVLİSİ;SAKARYA ÜNİVERSİTESİ/FEN-EDEBİYAT FAKÜLTESİ/COĞRAFYA BÖLÜMÜ/BEŞERİ COĞRAFYA ANABİLİM DALI/;Sosyal-Beşeri ve İdari Bilimler Temel Alanı;Beşeri ve İktisadi coğrafya;
